Cell,lon,lat
Cell213,111.73114,32.231785
Cell214,111.738625,32.28622
Cell215,111.74289,30.167866
Cell216,111.7458,30.524668
Cell217,111.74808,30.425432
Cell218,111.748375,32.144146
Cell219,111.754875,30.448572
Cell220,111.77074,30.176174
Cell221,111.771834,30.150906
Cell222,111.78021,30.177029
Cell223,111.786865,30.190022
Cell224,111.79305,30.797823
Cell225,111.798775,30.822037
Cell226,111.80587,32.168545
Cell227,111.80587,32.168583
Cell228,111.811332,30.820362
Cell229,111.81136,31.765722
Cell230,111.811485,32.125687
Cell231,111.81684,30.803728
Cell232,111.820854,32.445194
Cell233,111.823326,31.775654
Cell234,111.82367,30.823603
Cell235,111.825874,30.858877
Cell236,111.82664,30.516651
Cell237,111.82665,30.516638
Cell238,111.83317,32.493732
Cell239,111.83423,31.773867
Cell240,111.83717,32.113907
Cell241,111.84081,30.782513
Cell242,111.841122,30.816728
Cell243,111.843857,30.034162
Cell244,111.84394,31.784729
Cell245,111.84729,31.795551
Cell246,111.862434,32.337395
Cell247,111.86274,31.761143
Cell248,111.8714,32.440018
Cell249,111.875015,29.877405
Cell250,111.88562,32.11768
Cell251,111.90061,31.81368
Cell252,111.90622,30.717033
Cell253,111.912346,30.752077
Cell254,111.91474,30.918446
Cell255,111.9327,29.889917
Cell256,111.947525,32.447884
Cell257,111.95048,31.579866
Cell258,111.9659,32.353973
Cell259,111.97477,30.553905
Cell260,111.97885,31.026548
Cell261,111.98111,30.697145
Cell262,111.99388,32.09518
Cell263,111.994385,32.022957
Cell264,112.00991,31.985428
Cell265,112.01031,31.675808
Cell266,112.01296,32.103683
Cell267,112.01662,32.143394
Cell268,112.02391,31.484875
Cell269,112.02782,31.68142
Cell270,112.03115,29.873377
Cell271,112.05221,32.05441
Cell272,108.67312,30.542717
Cell273,108.72017,30.042135
Cell274,108.73225,30.301107
Cell275,108.898094,30.242525
Cell276,108.90423,30.272411
Cell277,108.90705,30.295393
Cell278,108.948044,29.529793
Cell279,108.954285,30.284792
Cell280,108.97362,30.289991
Cell281,108.97434,30.296886
Cell282,108.98198,30.266987
Cell283,108.9821,30.266882
Cell284,109.00285,30.27572
Cell285,109.30099,29.619436
Cell286,109.324684,29.304316
Cell287,109.389145,29.490145
Cell288,109.38915,29.490028
Cell289,109.39724,29.487858
Cell290,109.410866,29.507465
Cell291,109.418629,29.512358
Cell292,109.41863,29.528912
Cell293,109.53478,30.073435
Cell294,109.561714,30.395752
Cell295,109.56172,30.395784
Cell296,109.697685,30.602236
Cell297,109.728264,30.598545
Cell298,110.1844,29.959892
Cell299,110.23228,32.21813
Cell300,110.270325,33.09917
Cell301,110.29452,30.453854
Cell302,110.41797,29.819672
