p,x,y,j,c
460-00-911293-129,111.31238,30.764807,C10,1
460-00-987971-130,111.360901,30.64613,C10,1
460-00-571288-65,111.363846,30.795115,C10,1
460-00-300620-129,111.35913,30.80029,C10,1
460-00-122087-64,111.352463,30.646172,C10,1
460-00-457895-1,111.300091,30.700421,C10,1
460-00-458649-7,111.291519,30.702537,C10,1
460-00-457832-6,111.32155,30.71989,C10,1
460-00-719722-65,111.36357,30.801006,C10,1
460-00-987210-142,111.304985,30.696495,C10,1
460-00-574813-64,111.347401,30.65055,C10,1
460-00-457800-1,111.356641,30.645771,C10,1
460-00-988109-129,111.34058,30.652105,C10,1
460-00-987408-135,111.30259,30.704622,C10,1
460-00-574714-66,111.35331,30.800402,C10,1
460-00-574631-65,111.364319,30.652731,C10,1
460-00-300620-132,111.35912,30.80035,C10,1
460-00-575071-65,111.337464,30.784865,C10,1
460-00-575098-64,111.356731,30.643819,C10,1
460-00-575011-64,111.360906,30.646232,C10,1
460-00-457657-13,111.283261,30.705211,C10,1
460-00-574767-65,111.342918,30.741823,C10,1
460-00-122087-66,111.352463,30.646172,C10,1
460-00-575056-64,111.356629,30.645913,C10,1
460-00-910856-131,111.33241,30.71195,C10,1
460-00-570518-69,111.29058,30.70564,C10,1
460-00-570796-72,111.29996,30.685179,C10,1
460-00-574725-65,111.368324,30.81225,C10,1
460-00-574891-65,111.36054,30.80903,C10,1
460-00-574879-64,111.34397,30.793736,C10,1
460-00-300651-129,111.30315,30.68081,C10,1
460-00-575064-64,111.299786,30.686829,C10,1
460-00-910759-132,111.28617,30.709188,C10,1
460-00-574631-66,111.364319,30.652731,C10,1
460-00-122252-72,111.31951,30.674828,C10,1
460-00-122087-65,111.352463,30.646172,C10,1
460-00-571066-67,111.301101,30.701756,C10,1
460-00-574630-65,111.360291,30.649811,C10,1
460-00-574856-65,111.35212,30.666313,C10,1
460-00-570798-65,111.31738,30.72612,C10,1
460-00-458646-2,111.285808,30.707823,C10,1
460-00-910760-131,111.28617,30.709188,C10,1
460-00-570796-75,111.302826,30.682901,C10,1
460-00-574952-66,111.300958,30.691771,C10,1
460-00-301095-130,111.36385,30.79511,C10,1
460-00-719900-66,111.36942,30.636292,C10,1
460-00-574882-65,111.36053,30.80314,C10,1
460-00-575011-66,111.360906,30.646232,C10,1
460-00-571291-69,111.36095,30.797298,C10,1
460-00-719720-65,111.371826,30.816696,C10,1
460-00-458723-2,111.33982,30.73877,C10,1
460-00-122086-64,111.359367,30.643698,C10,1
460-00-122066-64,111.347891,30.787211,C10,1
460-00-911007-134,111.36044,30.64984,C10,1
460-00-457946-2,111.364321,30.652731,C10,1
460-00-457646-2,111.286401,30.718206,C10,1
460-00-719895-71,111.32191,30.675627,C10,1
460-00-575018-64,111.305915,30.716501,C10,1
460-00-575056-66,111.356629,30.645913,C10,1
460-00-301760-131,111.32634,30.680258,C10,1
460-00-719721-64,111.36104,30.797358,C10,1
460-00-988001-130,111.35135,30.655848,C10,1
460-00-574878-66,111.36194,30.783326,C10,1
460-00-301760-129,111.32634,30.680258,C10,1
460-00-910701-130,111.36732,30.79932,C10,1
460-00-575063-65,111.32634,30.680258,C10,1
460-00-570626-67,111.34044,30.77154,C10,1
460-00-301623-130,111.36072,30.79095,C10,1
460-00-457800-3,111.356641,30.645771,C10,1
